시군구,행정동별_인구수,행정동
종로구,11030,청운효자동
종로구,8962,사직동
종로구,2219,삼청동
종로구,9051,부암동
종로구,17251,평창동
종로구,7839,무악동
종로구,9552,교남동
종로구,3778,가회동
종로구,6668,종로1·2·3·4가동
종로구,5294,종로5·6가동
종로구,7009,이화동
종로구,15822,혜화동
종로구,4495,창신1동
종로구,7333,창신2동
종로구,6231,창신3동
종로구,5728,숭인1동
종로구,10074,숭인2동
중구,2163,소공동
중구,4301,회현동
중구,2529,명동
중구,4341,필동
중구,4546,장충동
중구,5727,광희동
중구,3095,을지로동
중구,7411,신당동
중구,13030,다산동
중구,15935,약수동
중구,12397,청구동
중구,10080,신당5동
중구,9828,동화동
중구,13101,황학동
중구,12060,중림동
용산구,15804,후암동
용산구,8690,용산2가동
용산구,6739,남영동
용산구,18603,청파동
용산구,17020,원효로1동
용산구,13522,원효로2동
용산구,10484,효창동
용산구,11161,용문동
용산구,20901,한강로동
용산구,24955,이촌1동
용산구,7711,이촌2동
용산구,6030,이태원1동
용산구,8507,이태원2동
용산구,14073,한남동
용산구,12467,서빙고동
용산구,7187,보광동
성동구,15950,왕십리2동
성동구,26071,왕십리도선동
성동구,21344,마장동
성동구,11927,사근동
성동구,13736,행당1동
성동구,22620,행당2동
성동구,14723,응봉동
성동구,14580,금호1가동
성동구,21148,금호2·3가동
성동구,14074,금호4가동
성동구,25289,옥수동
성동구,15202,성수1가1동
성동구,11696,성수1가2동
성동구,14158,성수2가1동
성동구,9643,성수2가3동
성동구,9453,송정동
성동구,12055,용답동
광진구,22880,화양동
광진구,18729,군자동
광진구,15111,중곡1동
광진구,20172,중곡2동
광진구,15379,중곡3동
광진구,27284,중곡4동
광진구,10903,능동
광진구,33788,광장동
광진구,21762,자양1동
광진구,23381,자양2동
광진구,27010,자양3동
광진구,19651,자양4동
광진구,22961,구의1동
광진구,25295,구의2동
광진구,27657,구의3동
동대문구,38619,용신동
동대문구,22895,제기동
동대문구,32864,전농1동
동대문구,17664,전농2동
동대문구,27835,답십리1동
동대문구,27059,답십리2동
동대문구,37110,장안1동
동대문구,32917,장안2동
동대문구,18473,청량리동
동대문구,10229,회기동
동대문구,13427,휘경1동
동대문구,24067,휘경2동
동대문구,16546,이문1동
동대문구,19030,이문2동
중랑구,23237,면목2동
중랑구,17900,면목4동
중랑구,14208,면목5동
중랑구,32345,면목본동
중랑구,20974,면목7동
중랑구,23884,면목3·8동
중랑구,22837,상봉1동
중랑구,20842,상봉2동
중랑구,18312,중화1동
중랑구,23461,중화2동
중랑구,33310,묵1동
중랑구,17921,묵2동
중랑구,38193,망우본동
중랑구,15396,망우3동
중랑구,37124,신내1동
중랑구,19330,신내2동
성북구,15827,성북동
성북구,21913,삼선동
성북구,14920,동선동
성북구,14033,돈암1동
성북구,23232,돈암2동
성북구,15250,안암동
성북구,16019,보문동
성북구,17617,정릉1동
성북구,22135,정릉2동
성북구,14161,정릉3동
성북구,23850,정릉4동
성북구,35547,길음1동
성북구,21394,길음2동
성북구,37051,종암동
