"동별","연령별","시점","계","한국인","등록외국인",
"합계","합계","2024 년","9597372","9331828","265544",
"합계","합계","2025 년","9579177","9299548","279629",
"합계","0~4세","2024 년","207542","202897","4645",
"합계","0~4세","2025 년","206861","202627","4234",
"합계","5~9세","2024 년","286741","280883","5858",
"합계","5~9세","2025 년","263682","258035","5647",
"합계","10~14세","2024 년","356567","352036","4531",
"합계","10~14세","2025 년","351584","346816","4768",
"합계","15~19세","2024 년","381258","368731","12527",
"합계","15~19세","2025 년","386226","371055","15171",
"합계","20~24세","2024 년","581606","530569","51037",
"합계","20~24세","2025 년","548450","492144","56306",
"합계","25~29세","2024 년","818212","777691","40521",
"합계","25~29세","2025 년","806484","762741","43743",
"합계","30~34세","2024 년","822127","796699","25428",
"합계","30~34세","2025 년","838104","812000","26104",
"합계","35~39세","2024 년","669306","645966","23340",
"합계","35~39세","2025 년","674769","650944","23825",
"합계","40~44세","2024 년","727806","708639","19167",
"합계","40~44세","2025 년","702753","682655","20098",
"합계","45~49세","2024 년","691254","675311","15943",
"합계","45~49세","2025 년","698579","681985","16594",
"합계","50~54세","2024 년","794160","775758","18402",
"합계","50~54세","2025 년","763738","746357","17381",
"합계","55~59세","2024 년","730403","710310","20093",
"합계","55~59세","2025 년","741134","721357","19777",
"합계","60~64세","2024 년","705495","692690","12805",
"합계","60~64세","2025 년","684062","670730","13332",
"합계","65~69세","2024 년","640195","633549","6646",
"합계","65~69세","2025 년","655487","648113","7374",
"합계","70~74세","2024 년","439509","436781","2728",
"합계","70~74세","2025 년","478390","475221","3169",
"합계","75~79세","2024 년","337947","336990","957",
"합계","75~79세","2025 년","353170","352044","1126",
"합계","80~84세","2024 년","235361","234945","416",
"합계","80~84세","2025 년","240530","240084","446",
"합계","85~89세","2024 년","120587","120305","282",
"합계","85~89세","2025 년","128121","127827","294",
"합계","90~94세","2024 년","40193","40067","126",
"합계","90~94세","2025 년","45150","45015","135",
"합계","95~99세","2024 년","9577","9527","50",
"합계","95~99세","2025 년","10445","10385","60",
"합계","100세 이상","2024 년","1526","1484","42",
"합계","100세 이상","2025 년","1458","1413","45",
"종로구","합계","2024 년","149608","138336","11272",
"종로구","합계","2025 년","148813","137048","11765",
"종로구","0~4세","2024 년","2449","2254","195",
"종로구","0~4세","2025 년","2412","2204","208",
"종로구","5~9세","2024 년","3497","3257","240",
"종로구","5~9세","2025 년","3130","2886","244",
"종로구","10~14세","2024 년","4644","4420","224",
"종로구","10~14세","2025 년","4410","4186","224",
"종로구","15~19세","2024 년","5595","4958","637",
"종로구","15~19세","2025 년","5776","5007","769",
"종로구","20~24세","2024 년","12174","8639","3535",
"종로구","20~24세","2025 년","11569","7997","3572",
"종로구","25~29세","2024 년","14573","12324","2249",
"종로구","25~29세","2025 년","14572","12209","2363",
"종로구","30~34세","2024 년","12207","11326","881",
"종로구","30~34세","2025 년","12419","11449","970",
"종로구","35~39세","2024 년","9177","8428","749",
"종로구","35~39세","2025 년","9210","8420","790",
"종로구","40~44세","2024 년","10034","9340","694",
"종로구","40~44세","2025 년","9811","9110","701",
"종로구","45~49세","2024 년","9658","9147","511",
"종로구","45~49세","2025 년","9706","9135","571",
"종로구","50~54세","2024 년","12328","11851","477",
"종로구","50~54세","2025 년","11500","11049","451",
"종로구","55~59세","2024 년","11884","11525","359",
"종로구","55~59세","2025 년","12082","11706","376",
"종로구","60~64세","2024 년","11548","11293","255",
"종로구","60~64세","2025 년","11258","11026","232",
"종로구","65~69세","2024 년","9874","9723","151",
"종로구","65~69세","2025 년","10138","9975","163",
"종로구","70~74세","2024 년","6532","6478","54",
"종로구","70~74세","2025 년","7188","7126","62",
"종로구","75~79세","2024 년","5421","5389","32",
"종로구","75~79세","2025 년","5475","5437","38",
"종로구","80~84세","2024 년","4351","4337","14",
"종로구","80~84세","2025 년","4316","4300","16",
"종로구","85~89세","2024 년","2509","2500","9",
"종로구","85~89세","2025 년","2588","2580","8",
"종로구","90~94세","2024 년","889","884","5",
"종로구","90~94세","2025 년","989","983","6",
"종로구","95~99세","2024 년","223","222","1",
"종로구","95~99세","2025 년","230","229","1",
"종로구","100세 이상","2024 년","41","41","-",
"종로구","100세 이상","2025 년","34","34","-",
"청운효자동","합계","2024 년","11158","11030","128",
"청운효자동","합계","2025 년","11001","10876","125",
"청운효자동","0~4세","2024 년","224","220","4",
"청운효자동","0~4세","2025 년","214","210","4",
"청운효자동","5~9세","2024 년","326","324","2",
"청운효자동","5~9세","2025 년","301","299","2",
"청운효자동","10~14세","2024 년","480","476","4",
"청운효자동","10~14세","2025 년","467","463","4",
"청운효자동","15~19세","2024 년","538","533","5",
"청운효자동","15~19세","2025 년","546","543","3",
"청운효자동","20~24세","2024 년","567","562","5",
"청운효자동","20~24세","2025 년","518","509","9",
"청운효자동","25~29세","2024 년","765","752","13",
"청운효자동","25~29세","2025 년","766","757","9",
"청운효자동","30~34세","2024 년","833","821","12",
"청운효자동","30~34세","2025 년","818","805","13",
"청운효자동","35~39세","2024 년","717","704","13",
"청운효자동","35~39세","2025 년","716","704","12",
"청운효자동","40~44세","2024 년","887","868","19",
"청운효자동","40~44세","2025 년","845","829","16",
"청운효자동","45~49세","2024 년","915","899","16",
"청운효자동","45~49세","2025 년","907","887","20",
"청운효자동","50~54세","2024 년","1013","1008","5",
"청운효자동","50~54세","2025 년","983","975","8",
"청운효자동","55~59세","2024 년","894","887","7",
"청운효자동","55~59세","2025 년","876","871","5",
"청운효자동","60~64세","2024 년","769","760","9",
"청운효자동","60~64세","2025 년","756","749","7",
"청운효자동","65~69세","2024 년","668","663","5",
"청운효자동","65~69세","2025 년","667","663","4",
"청운효자동","70~74세","2024 년","481","477","4",
"청운효자동","70~74세","2025 년","517","513","4",
"청운효자동","75~79세","2024 년","423","420","3",
"청운효자동","75~79세","2025 년","426","423","3",
"청운효자동","80~84세","2024 년","342","340","2",
"청운효자동","80~84세","2025 년","365","363","2",
"청운효자동","85~89세","2024 년","219","219","-",
"청운효자동","85~89세","2025 년","211","211","-",
"청운효자동","90~94세","2024 년","78","78","-",
"청운효자동","90~94세","2025 년","85","85","-",
"청운효자동","95~99세","2024 년","16","16","-",
"청운효자동","95~99세","2025 년","15","15","-",
"청운효자동","100세 이상","2024 년","3","3","-",
"청운효자동","100세 이상","2025 년","2","2","-",
"사직동","합계","2024 년","9208","8962","246",
"사직동","합계","2025 년","9139","8898","241",
"사직동","0~4세","2024 년","163","157","6",
"사직동","0~4세","2025 년","164","155","9",
"사직동","5~9세","2024 년","265","257","8",
"사직동","5~9세","2025 년","232","223","9",
"사직동","10~14세","2024 년","324","318","6",
"사직동","10~14세","2025 년","317","310","7",
"사직동","15~19세","2024 년","312","310","2",
"사직동","15~19세","2025 년","293","289","4",
"사직동","20~24세","2024 년","403","396","7",
"사직동","20~24세","2025 년","395","389","6",
"사직동","25~29세","2024 년","644","628","16",
"사직동","25~29세","2025 년","638","624","14",
"사직동","30~34세","2024 년","835","819","16",
"사직동","30~34세","2025 년","831","821","10",
"사직동","35~39세","2024 년","659","619","40",
"사직동","35~39세","2025 년","653","614","39",
"사직동","40~44세","2024 년","776","740","36",
"사직동","40~44세","2025 년","761","714","47",
"사직동","45~49세","2024 년","695","660","35",
"사직동","45~49세","2025 년","695","658","37",
"사직동","50~54세","2024 년","785","762","23",
"사직동","50~54세","2025 년","720","701","19",
"사직동","55~59세","2024 년","707","690","17",
"사직동","55~59세","2025 년","782","767","15",
"사직동","60~64세","2024 년","699","679","20",
"사직동","60~64세","2025 년","674","664","10",
"사직동","65~69세","2024 년","601","592","9",
"사직동","65~69세","2025 년","623","613","10",
"사직동","70~74세","2024 년","377","376","1",
"사직동","70~74세","2025 년","411","409","2",
"사직동","75~79세","2024 년","336","334","2",
"사직동","75~79세","2025 년","342","340","2",
"사직동","80~84세","2024 년","309","309","-",
"사직동","80~84세","2025 년","290","290","-",
"사직동","85~89세","2024 년","209","208","1",
"사직동","85~89세","2025 년","205","205","-",
"사직동","90~94세","2024 년","79","78","1",
"사직동","90~94세","2025 년","80","79","1",
"사직동","95~99세","2024 년","23","23","-",
"사직동","95~99세","2025 년","27","27","-",
"사직동","100세 이상","2024 년","7","7","-",
"사직동","100세 이상","2025 년","6","6","-",
"삼청동","합계","2024 년","2460","2219","241",
"삼청동","합계","2025 년","2353","2114","239",
"삼청동","0~4세","2024 년","37","32","5",
"삼청동","0~4세","2025 년","39","33","6",
"삼청동","5~9세","2024 년","69","49","20",
"삼청동","5~9세","2025 년","51","35","16",
"삼청동","10~14세","2024 년","95","70","25",
"삼청동","10~14세","2025 년","89","70","19",
"삼청동","15~19세","2024 년","103","85","18",
"삼청동","15~19세","2025 년","104","84","20",
"삼청동","20~24세","2024 년","86","83","3",
"삼청동","20~24세","2025 년","80","75","5",
"삼청동","25~29세","2024 년","164","156","8",
"삼청동","25~29세","2025 년","149","142","7",
"삼청동","30~34세","2024 년","159","146","13",
"삼청동","30~34세","2025 년","153","139","14",
"삼청동","35~39세","2024 년","157","140","17",
"삼청동","35~39세","2025 년","153","133","20",
"삼청동","40~44세","2024 년","206","165","41",
"삼청동","40~44세","2025 년","178","147","31",
"삼청동","45~49세","2024 년","185","142","43",
"삼청동","45~49세","2025 년","178","140","38",
"삼청동","50~54세","2024 년","184","171","13",
"삼청동","50~54세","2025 년","178","158","20",
"삼청동","55~59세","2024 년","176","165","11",
"삼청동","55~59세","2025 년","171","160","11",
"삼청동","60~64세","2024 년","188","184","4",
"삼청동","60~64세","2025 년","189","183","6",
"삼청동","65~69세","2024 년","207","196","11",
"삼청동","65~69세","2025 년","193","182","11",
"삼청동","70~74세","2024 년","137","131","6",
"삼청동","70~74세","2025 년","145","140","5",
"삼청동","75~79세","2024 년","123","122","1",
"삼청동","75~79세","2025 년","124","117","7",
"삼청동","80~84세","2024 년","99","98","1",
"삼청동","80~84세","2025 년","96","94","2",
"삼청동","85~89세","2024 년","54","53","1",
"삼청동","85~89세","2025 년","51","50","1",
"삼청동","90~94세","2024 년","26","26","-",
"삼청동","90~94세","2025 년","26","26","-",
"삼청동","95~99세","2024 년","5","5","-",
"삼청동","95~99세","2025 년","6","6","-",
"삼청동","100세 이상","2024 년","-","-","-",
"삼청동","100세 이상","2025 년","-","-","-",
"부암동","합계","2024 년","9318","9051","267",
"부암동","합계","2025 년","9170","8926","244",
"부암동","0~4세","2024 년","125","125","-",
"부암동","0~4세","2025 년","129","129","-",
"부암동","5~9세","2024 년","245","245","-",
"부암동","5~9세","2025 년","207","207","-",
"부암동","10~14세","2024 년","368","368","-",
"부암동","10~14세","2025 년","341","341","-",
"부암동","15~19세","2024 년","408","401","7",
"부암동","15~19세","2025 년","408","404","4",
"부암동","20~24세","2024 년","555","478","77",
"부암동","20~24세","2025 년","524","439","85",
"부암동","25~29세","2024 년","631","566","65",
"부암동","25~29세","2025 년","648","587","61",
"부암동","30~34세","2024 년","701","665","36",
"부암동","30~34세","2025 년","674","646","28",
"부암동","35~39세","2024 년","565","538","27",
"부암동","35~39세","2025 년","549","526","23",
"부암동","40~44세","2024 년","678","659","19",
"부암동","40~44세","2025 년","661","649","12",
"부암동","45~49세","2024 년","686","675","11",
"부암동","45~49세","2025 년","671","661","10",
"부암동","50~54세","2024 년","840","833","7",
"부암동","50~54세","2025 년","794","791","3",
"부암동","55~59세","2024 년","795","787","8",
"부암동","55~59세","2025 년","809","803","6",
"부암동","60~64세","2024 년","728","725","3",
"부암동","60~64세","2025 년","709","706","3",
"부암동","65~69세","2024 년","668","664","4",
"부암동","65~69세","2025 년","665","661","4",
"부암동","70~74세","2024 년","414","412","2",
"부암동","70~74세","2025 년","464","460","4",
"부암동","75~79세","2024 년","373","372","1",
"부암동","75~79세","2025 년","377","376","1",
"부암동","80~84세","2024 년","272","272","-",
"부암동","80~84세","2025 년","268","268","-",
"부암동","85~89세","2024 년","174","174","-",
"부암동","85~89세","2025 년","178","178","-",
"부암동","90~94세","2024 년","63","63","-",
"부암동","90~94세","2025 년","70","70","-",
"부암동","95~99세","2024 년","27","27","-",
"부암동","95~99세","2025 년","20","20","-",
"부암동","100세 이상","2024 년","2","2","-",
"부암동","100세 이상","2025 년","4","4","-",
"평창동","합계","2024 년","17454","17251","203",
"평창동","합계","2025 년","17270","17071","199",
"평창동","0~4세","2024 년","372","370","2",
"평창동","0~4세","2025 년","371","370","1",
"평창동","5~9세","2024 년","572","569","3",
"평창동","5~9세","2025 년","506","505","1",
