accessibility_middle_category,preference_middle_category,preference_status,merge_allowed,missing_value_policy,note
도서,도서,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
문화체험,문화체험,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
음악,,policy_excluded,False,NA_not_zero,음악 청취 활동은 지역 가맹점 접근성 수요를 대표하지 않아 미산출
영상,영상,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
체육시설,체육시설,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
체육용품,,unmodeled,False,NA_not_zero,체육용품 구매선호를 설문 활동 하나로 대표할 수 없어 미산출
공연,공연,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
관광지,관광지,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
미술,미술,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
스포츠관람,스포츠관람,supported,True,not_applicable,선호 절대확률·잠재수요와 중분류명이 동일하여 결합 가능
