접근수단,가맹점_ID,중분류,시설_유효수요,가맹점명,시군구_가맹점,소분류,공급량,시설_공급수요비
도보,STORE_00077,체육용품,0.085954670997826,드림골프샵(드림통상),강남구,체육용품,1.0,11.634039062580932
도보,STORE_02878,체육용품,1112.5980979080225,삼천리자전거 보문점,성북구,체육용품,1.0,0.0008987971504537563
도보,STORE_02915,문화체험,653.1715112189377,안암동 주민자치회,성북구,문화체험,1.0,0.00153099145143948
도보,STORE_02890,체육시설,593.1969441064688,성북실내풋살센터 ,성북구,체육시설,1.0,0.0016857807679813619
도보,STORE_02976,체육시설,219.7224321501702,크로스핏 로꼬,성북구,체육시설,1.0,0.004551196663054166
도보,STORE_02886,체육시설,496.02003104431896,성북구립휘트니스센터(성북구도시관리공단),성북구,체육시설,1.0,0.002016047613832456
도보,STORE_04240,문화체험,591.2853532268413,주식회사 터치포굿,종로구,문화체험,1.0,0.0016912307983660794
도보,STORE_03652,문화체험,99.01380968235094,서빙고동 주민자치위원회,용산구,문화체험,1.0,0.010099601290043569
도보,STORE_03634,체육용품,183.54535544272292,라이트브라더스,용산구,체육용품,1.0,0.0054482446455152034
도보,STORE_03632,도서,211.30800819663887,두란노문고 본사점,용산구,도서,1.0,0.004732428309434542
도보,STORE_03681,문화체험,130.2190586193645,윤아트,용산구,문화체험,1.0,0.007679367448992547
도보,STORE_03667,음악,89.37064378395803,어쿠스틱마트,용산구,음악,1.0,0.011189356567883417
도보,STORE_02865,체육시설,351.3184305054483,백퍼센트짐,성북구,체육시설,1.0,0.0028464205494749635
도보,STORE_02963,도서,362.9245630698779,참사랑기독교백화점,성북구,도서,1.0,0.0027553935493957156
도보,STORE_02997,도서,365.2864428606317,희망문고(뉴희망문고),성북구,도서,1.0,0.002737577645008664
도보,STORE_02936,도서,287.2020910695873,월드문고,성북구,도서,1.0,0.0034818687993386026
도보,STORE_02980,체육시설,341.14651523328155,필라테스마일 한성대점(프롬미주식회사),성북구,체육시설,1.0,0.002931291850705799
도보,STORE_02879,체육용품,1299.980919208727,삼천리자전거 삼선점,성북구,체육용품,1.0,0.0007692420598055242
도보,STORE_02826,체육시설,215.33638451447,국제복싱체육관,성북구,체육시설,1.0,0.004643897046264389
도보,STORE_02875,문화체험,1050.6411892584988,삼선동 주민자치회,성북구,문화체험,1.0,0.0009517997297495643
도보,STORE_02872,도서,193.47967502684423,붓다북((주)운주사),성북구,도서,1.0,0.005168501548605845
도보,STORE_02977,체육시설,164.25270172487214,탑2000,성북구,체육시설,1.0,0.006088179917277878
도보,STORE_02807,영상,1322.5664056532191,CGV 성신여대입구,성북구,영화,1.0,0.0007561057015553766
도보,STORE_02941,체육시설,162.67277893288602,유타BK,성북구,체육시설,1.0,0.006147309995930975
도보,STORE_02959,문화체험,333.3809377035422,정유정 도예작업실(오소소),성북구,문화체험,1.0,0.002999571621846137
도보,STORE_02869,도서,534.70822123219,부비프(buvif),성북구,도서,1.0,0.0018701788382747965
도보,STORE_02895,체육시설,135.13577630740917,성신볼링장,성북구,체육시설,1.0,0.007399964889572861
